reference_id,services_affected,name,started_at,resolved_at,source_name,source_url
20717,ImpPlanner,Incorrect fund assignment in several databases,2025-02-17,2025-06-13,incident_backfill,https://dev.azure.com/impsoftwareuk/ImpPlanner/_workitems/edit/20717
20926,"ImpPlanner,Staffing",Error 403 - This web app is stopped - Bill not Paid,2025-03-04,2025-03-26,incident_backfill,https://dev.azure.com/impsoftwareuk/ImpPlanner/_workitems/edit/20926
21887,"ImpPlanner,Purchasing",Purchasing was Unavailable On Thursday 24th April,2025-04-30,2025-06-13,incident_backfill,https://dev.azure.com/impsoftwareuk/ImpPlanner/_workitems/edit/21887
21936,"ImpPlanner,Platform",Purchasing unable to find new private DNS and it unavailable,2025-05-06,2025-06-13,incident_backfill,https://dev.azure.com/impsoftwareuk/ImpPlanner/_workitems/edit/21936
21937,"ImpPlanner,Platform",Purchasing test pointing at prod databases,2025-05-06,2025-06-13,incident_backfill,https://dev.azure.com/impsoftwareuk/ImpPlanner/_workitems/edit/21937
22049,ImpPlanner,Slow Performance,2025-05-07,2025-05-07,incident_backfill,https://dev.azure.com/impsoftwareuk/ImpPlanner/_workitems/edit/22049
22053,"ImpPlanner,Platform",Elastic pool we-prod-all-7-ep 100% CPU usage,2025-05-07,2025-05-14,incident_backfill,https://dev.azure.com/impsoftwareuk/ImpPlanner/_workitems/edit/22053
22123,ImpPlanner,Elastic Pool CPU stuck at 100%,2025-05-12,2025-05-15,incident_backfill,https://dev.azure.com/impsoftwareuk/ImpPlanner/_workitems/edit/22123
23412,"ImpPlanner,NonStaffing",Downtime during reporting release,2025-07-07,2025-07-10,incident_backfill,https://dev.azure.com/impsoftwareuk/ImpPlanner/_workitems/edit/23412
23538,"ImpPlanner,Platform",Hangfire Downtime,2025-07-11,,incident_backfill,https://dev.azure.com/impsoftwareuk/ImpPlanner/_workitems/edit/23538
23858,"ImpPlanner,Platform",Unable to load screens in IMP,2025-08-01,,incident_backfill,https://dev.azure.com/impsoftwareuk/ImpPlanner/_workitems/edit/23858
24389,ImpPlanner,"2030/2031 Financial Year has been added to ASP001, BAT001, and CID001 accidentally",2025-08-27,,incident_backfill,https://dev.azure.com/impsoftwareuk/ImpPlanner/_workitems/edit/24389
24446,ImpPlanner,Year End,2025-09-01,,incident_backfill,https://dev.azure.com/impsoftwareuk/ImpPlanner/_workitems/edit/24446
24572,"ImpPlanner,Icfp",ICFP data not copying to new scenarios,2025-09-04,,incident_backfill,https://dev.azure.com/impsoftwareuk/ImpPlanner/_workitems/edit/24572
